Москва;г Москва, ш Хорошевское, 33, 1, ХОРОШО ( );;пн-вс 10:00-22:00;;Кари
 Первомайский;г Москва, ул Парковая 9-я, 62, Первомайский ( );Москва,  ТЦ;пн 10:00-21:00, вт 10:00-15:00, ср-вс 10:00-21:00;;Кари
 Москва;г Москва, ш Дмитровское, 163А,кор1, РИО ( вход В, 2 этаж налево по эскалатору над магазном Окей ) ;ТРЦ РИО,  Дмитровское ш,  163А, кор1;пн-вс 10:00-22:00;;Кари
 Москва;г Москва, ул Правобережная, 1д, Капитолий (вход со стороны Ашана на эскалаторе 2 этаж, около магазина Адидас ) ;ТЦ Капитолий,  Правобережная ул,  1б;пн-вс 10:00-22:00;;Кари
 Москва;г Москва, ул Шереметьевская, 20А, Капитолий (3 этаж на лифте , по правой стороне от лифта ) ;ТЦ Капитолий,  Шереметьевская ул,  20А;пн-вс 10:00-22:00;;Кари
 Зеленоград;г Зеленоград, пр-кт Панфиловский, 6а, Панфиловский ( );Панфиловский;пн-вс 10:00-22:00;;Кари
 Химки;г Химки, ш Ленинградское, 5, Лига (ОТ центрального входа прямо к эскалатору на 2 этаж, рядом кари кидс ) ;ТЦ Лига,  Ленинградское ш,  5;пн-вс 10:00-22:00;;Кари
 Раменское;г Раменское, ул Михалевича, 5, Раменское (центральный вход ,2 этаж по листнице, левое крыло ) ;ТЦ Раменское,  Михалевича ул,  5;пн-вс 10:00-21:00;;Кари
Борзя;г Борзя, ул Советская, 28 ( );;пн-пт 10:00-20:00, сб 10:00-22:00, вс 10:00-20:00;;Кари
Тула;г Тула, ул Пролетарская, 2, Макси ( );;пн-вс 10:00-21:00;;Кари
Улан-Удэ;г Улан-Удэ, ул Ключевская, 8 ( );;пн-вс 10:00-22:00;;Кари
 Гродно;Гродно, ул. Дубко, 17, OLDCity;OLDCity;пн-ср 10:00-22:00, чт 10:00-21:00, пт-вс 10:00-22:00;;Кари
Казань;г Казань, пр-кт Ямашева, 97, XL ( );XL;пн-вс 10:00-22:00;;Кари
 Алматы;Алматы, ул. Сатпаева д. 90/28, ADK;АДК;пн-вс 10:00-22:00;;Кари
 Ульяновск;г Ульяновск, ш Московское, 108, Аквамолл (центральный вход ,2 этаж по эскалатору ,от эскалатора направо ) ;Аквамолл;пн-вс 10:00-22:00;;Кари
Псков;г Псков, ул Кузбасской Дивизии, 19, Акваполис (kids) ( );Акваполис(kids);пн-вс 10:00-21:00;;Кари
 Челябинск;г Челябинск, ш Копейское, 62, Алмаз ( );Алмаз;пн-вс 10:00-22:00;;Кари
 Брест;Брест, ул. Московская, 273В, Алми;Алми(Кидс);пн-вс 10:00-20:00;;Кари
 Самара;г Самара, ш Южное, 5, Амбар (центральный вход со стороны Ашана 1 этаж , лево крыло ) ;Амбар;пн-вс 10:00-22:00;;Кари
 Алматы;Алматы, Карасайский район, трасса лматы - Бишкек, Апорт;Апорт;пн-чт 10:00-22:00, пт-сб 10:00-23:00, вс 10:00-22:00;;Кари
 Воронеж;г Воронеж, б-р Победы, 23Б, Арена (центральный вход , 2 этаж по эскалатору , с эскалатора направо ) ;Арена;пн-вс 10:00-22:00;;Кари
 Астана;Астана, ул. Жансугирова, 8/1, Аружан;Аружан;пн-вс 10:00-22:00;;Кари
 Могилев;Могилев, ул. Терехина, 9, Атлас;Атлас;пн-вс 10:00-21:00;;Кари
 Братск;г Братск, ул Янгеля, 120/1, Байкал ( );Байкал;пн 10:00-20:55, вт-вс 10:00-22:00;;Кари
 Тараз;Тараз, ул. Б. Момышулы 37б, Баян Сулу;Баян-Сулу;пн-вс 10:00-20:00;;Кари
Владивосток;г Владивосток, ул Русская, 003, Березка (центральный вход, 2 этаж, по леснице, направо ) ;Березка;пн 10:00-19:18, вт-вс 10:00-20:15;;Кари
 Хабаровск;г Хабаровск, ул Муравьева-Амурского, 36, Волковинский холл (с ул.муравьева - амурского, напротив ЦУМа, отдельное здание кари ) ;Волковинский холл;пн-вс 10:00-21:00;;Кари
 Мариинск;г Мариинск, ул Ленина, 87, Волна ( );Волна;пн-вс 10:00-22:00;;Кари
 Брест;Брест, г. Брест, ул. Куйбышева, 13А/1-1, Галерея Гранд;Галерея Гранд;пн-вс 10:00-20:00;;Кари
Саратов;г Саратов, ул Дачная 3-я, 1, ТАУ Галерея ( );Галерея Тау;пн-вс 10:00-22:00;;Кари
 311;г Краснодар, ул им Володи Головатого, 313, Галерея Краснодар (2 очередь 2 этаж на эскалаторе,рядом с фудкортом ) ;Галерея,  Краснодар Володи Головатого ул.;пн-вс 10:00-22:00;;Кари
 Минск;Минск, ул. Бобруйская, 6, Галилео;Галилео;пн-ср 10:00-22:00, чт 10:00-21:00, пт-вс 10:00-23:00;;Кари
 Солигорск;Солигорск, ул.Железнодорожная, д. 21, Галлерея;Галлерея;пн-вс 10:00-21:00;;Кари
 Биробиджан;"г Биробиджан, ул Шолом-Алейхема, 72, Гигант (центральный вход, прямо на эскалатор,3этаж, напротив ""Домовид"" ) ";Гигант;пн-вс 10:00-20:00;;Кари
 Алматы;Алматы, ул. Абая 109В, Globus;Глобус;пн-вс 10:00-22:00;;Кари
 Ростов-на-дону;г Ростов-на-Дону, пр-кт Михаила Нагибина, 32, Мегацентр Горизонт (3 этаж по эскалатору, направо ) ;Горизонт;пн-вс 10:00-22:00;;Кари
 Гранд Парк;г Грозный, пр-кт А.Кадырова, 40, Grand Park (2 этаж по эскалатору на лево ) ;Грозный;пн-вс 10:00-22:00;;Кари
 Уральск;Уральск, пр. Евразия 10, Евразия;Евразия;пн-вс 10:00-22:00;;Кари
 Брянск;г Брянск, пр-кт Московский, 49, Европа (центральный вход 1 этаж ,правое крыло ) ;Европа, проспект Московский;пн-вс 10:00-21:00;;Кари
Иркутск;г Иркутск, ул Розы Люксембург, 215в, Европарк ( );Европарк;пн-вс 10:00-20:00;;Кари
 Нижний Новгород;г Нижний Новгород, пл Советская, 5, Жар-Птица (минус 1 этаж вход с ул. Богородского , от магазина Окей налево по коридору с п);Жар-Птица;пн-вс 10:00-22:00;;Кари
 Аксай;Аксай, ул. Молодежная 13, Жарсуат;Жарсуат;пн-вс 10:00-19:00;;Кари
 Иркутск;"г Иркутск, ул Партизанская, 36 (Вход внутри ТЦ - в цокольном этаже; снуружи ТЦ - со стороны ул.Горной)";Карамель;пн-вс 10:00-22:00;;Кари
 Екатеринбург;г Екатеринбург, ул Халтурина, 55, Карнавал ( );Карнавал;пн-вс 10:00-22:00;;Кари
Комсомольск-на-Амуре;г Комсомольск-на-Амуре, ш Комсомольское, 5В (вход с ул. Комсомольское шоссе, 1-ый этаж, через кари кидс ) ;;пн-вс 10:00-22:00;;Кари
 Ростов-на-Дону;г Ростов-на-Дону, пр-кт Буденновский, 42/50, Континенталь ( );Континенталь;пн-вс 09:00-21:00;;Кари
 Самара;г Самара, ул Дыбенко, 30, Космопорт (вход через парковку Ашана ,цокольный этаж ,по центру ) ;Космопорт;пн-вс 10:00-22:00;;Кари
 Кокшетау;Кокшетау, ул. Абая, 133, Кристалл;Кристалл;пн-вс 10:00-20:00;;Кари
Курск;г Курск, ул Карла Маркса, 10, Европа (центральный вход, 4 этаж лифте,по коридорру на лево и снова на лево ) ;;пн-вс 10:00-22:00;;Кари
 Атырау;Атырау, ул. Баймуханова 66Б, Лимон;Лимон;пн-вс 10:00-20:00;;Кари
 Сыктывкар;г Сыктывкар, пр-кт Октябрьский, 141, Макси (центральный 2 этаж по эскалатору , с эскалатора направо ) ;Макси;пн-вс 10:00-21:00;;Кари
Горно-Алтайск;г Горно-Алтайск, пр-кт Коммунистический, 11, Мария-Ра (центральный вход ,3 этаж на эскалаторе , по правой стороне ) ;Мария-Ра;пн 10:00-22:00, вт 10:00-21:55, ср-вс 10:00-22:00;;Кари
 Алматы;Алматы, ул. Р. Зорге 18, Mart;Март;пн-вс 10:00-22:00;;Кари
 Калининград;г Калининград, ул Театральная, 21, Маяк (4 этаж на эскалаторе , прямо и налево ) ;Маяк;пн-вс 10:00-21:00;;Кари
 Калининград;г Калининград, ул Уральская, 18, МЕГА (центральный вход 2 этаж по эскалатору, левое крыло ) ;МЕГА;пн-вс 10:00-21:00;;Кари
Орёл;г Орёл, ш Кромское, 4, МегаГринн ( );МегаГринн;пн-вс 10:00-22:00;;Кари
Сочи;г Сочи, пр-кт Курортный, 16, Мелодия ( );Мелодия;пн-вс 10:00-22:00;;Кари
Минск;Минск, ул.Денисовская,д8-2, Е-сити;;пн-ср 10:00-22:00, чт 10:00-21:00, пт-вс 10:00-22:00;;Кари
 Нижний Новгород;г Нижний Новгород, ул Большая Покровская, 82, НЕБО ( );Небо;пн-вс 10:00-22:00;;Кари
Пермь;г Пермь, ул Спешилова, 114, Спеши Love (центральный вход, 3 этаж эскалаторе на право ) ;;пн-вс 10:00-22:00;;Кари
 Ижевск;г Ижевск, ул им Петрова, 29, Петровский (по эскалатору, 2 этаж, налево ) ;Петровский;пн-вс 10:00-22:00;;Кари
 Минск;Минск, Каменногорская 3, Простор;Простор;пн-ср 10:00-22:00, чт 10:00-21:00, пт-вс 10:00-22:00;;Кари
 Усолье-Сибирское;г Усолье-Сибирское, пр-кт Красных Партизан, 53А, Рыжик (от центрального входа прямо на лестницу,2 ЭТАЖ НАЛЕВО ) ;Рыжик;пн-вс 10:00-19:00;;Кари
Саранск;г Саранск, ул Волгоградская, 71 ( );;пн-вс 10:00-22:00;;Кари
Саянск;г Саянск, ул Советской Армии, 44 (центральный вход ,2 этаж по эскалатору, прямо и направо ) ;;пн-вт 10:00-20:00, ср 10:00-19:40, чт-вс 10:00-20:00;;Кари
Краснодар;г Краснодар, ул Уральская, 79, 2, СБС МегаМолл;СБС МегаМолл;пн-вс 10:00-22:00;;Кари
 Махачкала;г Махачкала, ул Ярагского, 30, Седьмой континент (центральный вход ,3 этаж на эскалаторе, с эскалатора направо ) ;Седьмой континент;пн-вс 10:00-21:00;;Кари
 Гомель;Гомель, ул. Гагарина, д.65, Секрет;Секрет;пн-вс 10:00-20:00;;Кари
 Степногорск;Степногорск, мкр.6 2, Сибирь;Сибирь;пн-вс 10:00-19:00;;Кари
 Иркутск;г Иркутск, ул Сергеева, 3 ( );Сильвер Молл;пн-вс 10:00-22:00;;Кари
 Калининград;г Калининград, пр-кт Московский, 171А, Сити Молл (2 этаж по эскалатору налево ) ;Сити;пн-вс 10:00-20:00;;Кари
 Минск;Минск, ул. Глебки, д.5, Скала;Скала;пн-ср 10:00-22:00, чт 10:00-21:00, пт-вс 10:00-22:00;;Кари
 Молодечно;Молодечно, В.Гостинец, 67, Спутник;Спутник;пн-вс 10:00-20:00;;Кари
Ставрополь;г Ставрополь, пр-кт К.Маркса, 47-49 ( );;пн-вс 10:00-22:00;;Кари
Минск;Минск, пр.Держинского, д.104, Титан;Титан;пн-вс 10:00-21:00;;Кари
"ТРК ""Фестиваль"" 3 этаж. Озёрск";г Озерск, ул Дзержинского, 35а, Фестиваль 3 этаж. (любой вход 2 этаж по эскалатору направо ) ;;пн-вс 10:00-21:00;;Кари
"ТРЦ ""РИО"" Кострома";г Кострома, ул Магистральная, 20, РИО (центральный вход 1 этаж ,от входо налево ) ;;пн-вс 10:00-22:00;;Кари
 Чехов;г Чехов, ул Московская, 96, Карнавал (напротив панорамного лифта);ТРЦ Карнавал,  Московская ул,  96;пн-вс 10:00-22:00;;Кари
 Минск;Минск, Налибокская, д. 1-1, Караван;ТЦ Караван;пн-вс 10:00-22:00;;Кари
Могилёв;Могилёв, Минское шоссе, 31, Парк;ТЦ Парк;пн-ср 10:00-22:00, чт 10:00-21:00, пт-вс 10:00-22:00;;Кари
 Канск;г Канск, ул 40 лет Октября, 62/4, Порт Артур 2 (вход в гипермаркет Аллея 1 этаж ,напротив гипермаркета Аллея ) ;ТЦ Порт Артур 2;пн-вс 10:00-21:00;;Кари
ТЦ Столичный Кызыл;г Кызыл, ул Дружбы, 140А, Столичный (цокальный этаж рядом Глория Джинс вход с ул.дружбы ) ;;пн-вс 10:00-20:00;;Кари
 Пермь;г Пермь, ул Героев Хасана, 105, Шоколад (центральный вход 1 этаж , по центру от фудкорта ) ;ТЦ Шоколад;пн-вс 10:00-21:00;;Кари
 Усть-Кут;г Усть-Кут, ул Кирова, 88 (центральный вход , 2 этаж по лестнице, по центру ) ;ТЦ;пн-вс 10:00-20:00;;Кари
 Ленинск-Кузнецкий;г Ленинск-Кузнецкий, ул Телефонная, 13, Фабрика (центральный вход 1 этаж ,прямо и на лево ) ;Фабрика;пн-вс 10:00-20:00;;Кари
 Тюмень;г Тюмень, ул Валерии Гнаровской, 12, Фаворит (центральный вход ,3 этаж на лифте ,на лево ) ;Фаворит;пн-вс 10:00-22:00;;Кари
 Вологда;г Вологда, ул Ленинградская, 100, Форум (центральный вход ,3 этаж по эскалатору ,с эскалатора направо ) ;Форум;пн-вс 10:00-21:00;;Кари
Хабаровск;"г Хабаровск, ул Краснореченская, 46 (с ул.краснореченская,остановка ""заводская"", 2 этаж, через банк по лестн ) ";;пн-вс 10:00-20:00;;Кари
 Воронеж;г Воронеж, ул Кольцовская, 35А, Галерея Чижова (центральный вход , 3 этаж на лифте , вход сразу по центу ) ;Центр Галереи Чижова;пн-вс 10:00-22:00;;Кари
 Большой Камень;г Большой Камень, ул Приморского Комсомола, 2, а, Центральный рынок (вход со стороны хлебозавода, цокольный этаж, прямо ) ;Центральный;пн-вс 10:00-20:00;;Кари
 Пенза;г Пенза, ул Кирова, 73/23, а, Цум (центральная галерея, с ул. Кирова по к эскалатору на 3 этаж, рядом Центробувь, Г);ЦУМ;пн-вс 09:00-21:00;;Кари
 Иркутск;г Иркутск, мкр Юбилейный, 19/1, Юбилейный (цокольный этаж, от эскалатора налево ) ;Юбилейный;пн-вс 10:00-22:00;;Кари
Южная Галлерея Симферополь;г Симферополь, ул Киевская, 189, Южная Галлерея (Вход со стороны ул. Киевской ,1 этаж по центру ) ;;пн-вс 10:00-22:00;;Кари
